generation,avg_survival,n1_weight_mag,n2_weight_mag
227,20,0.0000,0.0000
228,20,0.0000,0.0000
229,19,0.0000,0.0000
230,19,0.0000,0.0000
231,18,0.0000,0.0000
232,19,0.0000,0.0000
233,20,0.0000,0.0000
234,20,0.0000,0.0000
235,20,0.0000,0.0000
236,18,0.0000,0.0000
237,19,0.0000,0.0000
238,19,0.0000,0.0000
239,19,0.0000,0.0000
240,18,0.0000,0.0000
241,19,0.0000,0.0000
242,19,0.0000,0.0000
243,19,0.0000,0.0000
244,18,0.0000,0.0000
245,19,0.0000,0.0000
246,19,0.0000,0.0000
247,19,0.0000,0.0000
248,19,0.0000,0.0000
249,19,0.0000,0.0000
250,18,0.0000,0.0000
251,18,0.0000,0.0000
252,18,0.0000,0.0000
253,19,0.0000,0.0000
254,19,0.0000,0.0000
255,19,0.0000,0.0000
256,19,0.0000,0.0000
257,19,0.0000,0.0000
258,19,0.0000,0.0000
259,18,0.0000,0.0000
260,18,0.0000,0.0000
261,19,0.0000,0.0000
262,20,0.0000,0.0000
263,19,0.0000,0.0000
264,19,0.0000,0.0000
265,19,0.0000,0.0000
266,19,0.0000,0.0000
267,20,0.0000,0.0000
268,19,0.0000,0.0000
269,19,0.0000,0.0000
270,18,0.0000,0.0000
271,19,0.0000,0.0000
272,19,0.0000,0.0000
273,18,0.0000,0.0000
274,19,0.0000,0.0000
275,19,0.0000,0.0000
276,19,0.0000,0.0000
277,20,0.0000,0.0000
278,19,0.0000,0.0000
279,19,0.0000,0.0000
280,19,0.0000,0.0000
281,19,0.0000,0.0000
282,19,0.0000,0.0000
283,19,0.0000,0.0000
284,18,0.0000,0.0000
285,19,0.0000,0.0000
286,19,0.0000,0.0000
287,19,0.0000,0.0000
288,19,0.0000,0.0000
289,19,0.0000,0.0000
290,19,0.0000,0.0000
291,18,0.0000,0.0000
292,19,0.0000,0.0000
293,18,0.0000,0.0000
294,19,0.0000,0.0000
295,19,0.0000,0.0000
296,19,0.0000,0.0000
297,19,0.0000,0.0000
298,20,0.0000,0.0000
299,19,0.0000,0.0000
300,19,0.0000,0.0000
301,18,0.0000,0.0000
302,18,0.0000,0.0000
303,18,0.0000,0.0000
304,19,0.0000,0.0000
305,19,0.0000,0.0000
306,19,0.0000,0.0000
307,20,0.0000,0.0000
308,19,0.0000,0.0000
309,21,0.0000,0.0000
310,19,0.0000,0.0000
311,19,0.0000,0.0000
312,19,0.0000,0.0000
313,20,0.0000,0.0000
314,19,0.0000,0.0000
315,20,0.0000,0.0000
316,19,0.0000,0.0000
317,19,0.0000,0.0000
318,20,0.0000,0.0000
319,19,0.0000,0.0000
320,18,0.0000,0.0000
321,18,0.0000,0.0000
322,19,0.0000,0.0000
323,19,0.0000,0.0000
324,20,0.0000,0.0000
325,18,0.0000,0.0000
326,20,0.0000,0.0000
327,19,0.0000,0.0000
328,19,0.0000,0.0000
329,20,0.0000,0.0000
330,19,0.0000,0.0000
331,19,0.0000,0.0000
332,19,0.0000,0.0000
333,20,0.0000,0.0000
334,20,0.0000,0.0000
335,20,0.0000,0.0000
336,20,0.0000,0.0000
337,20,0.0000,0.0000
338,19,0.0000,0.0000
339,18,0.0000,0.0000
340,19,0.0000,0.0000
341,19,0.0000,0.0000
342,20,0.0000,0.0000
343,20,0.0000,0.0000
344,19,0.0000,0.0000
345,19,0.0000,0.0000
346,19,0.0000,0.0000
347,18,0.0000,0.0000
348,19,0.0000,0.0000
349,19,0.0000,0.0000
350,19,0.0000,0.0000
351,19,0.0000,0.0000
352,20,0.0000,0.0000
353,19,0.0000,0.0000
354,20,0.0000,0.0000
355,20,0.0000,0.0000
356,19,0.0000,0.0000
357,19,0.0000,0.0000
358,19,0.0000,0.0000
359,19,0.0000,0.0000
360,18,0.0000,0.0000
361,18,0.0000,0.0000
362,19,0.0000,0.0000
363,19,0.0000,0.0000
364,19,0.0000,0.0000
365,19,0.0000,0.0000
366,19,0.0000,0.0000
367,19,0.0000,0.0000
368,20,0.0000,0.0000
369,20,0.0000,0.0000
370,20,0.0000,0.0000
371,19,0.0000,0.0000
372,19,0.0000,0.0000
373,20,0.0000,0.0000
374,19,0.0000,0.0000
375,21,0.0000,0.0000
376,20,0.0000,0.0000
377,19,0.0000,0.0000
378,20,0.0000,0.0000
379,20,0.0000,0.0000
380,20,0.0000,0.0000
381,20,0.0000,0.0000
382,19,0.0000,0.0000
383,20,0.0000,0.0000
384,20,0.0000,0.0000
385,18,0.0000,0.0000
386,18,0.0000,0.0000
387,18,0.0000,0.0000
388,19,0.0000,0.0000
389,19,0.0000,0.0000
390,18,0.0000,0.0000
391,19,0.0000,0.0000
392,18,0.0000,0.0000
393,19,0.0000,0.0000
394,19,0.0000,0.0000
395,19,0.0000,0.0000
396,19,0.0000,0.0000
397,19,0.0000,0.0000
398,19,0.0000,0.0000
399,19,0.0000,0.0000
400,19,0.0000,0.0000
401,20,0.0000,0.0000
402,20,0.0000,0.0000
403,19,0.0000,0.0000
404,19,0.0000,0.0000
405,19,0.0000,0.0000
406,19,0.0000,0.0000
407,19,0.0000,0.0000
408,20,0.0000,0.0000
409,19,0.0000,0.0000
410,19,0.0000,0.0000
411,19,0.0000,0.0000
412,19,0.0000,0.0000
413,18,0.0000,0.0000
414,18,0.0000,0.0000
415,18,0.0000,0.0000
416,18,0.0000,0.0000
417,19,0.0000,0.0000
418,18,0.0000,0.0000
419,19,0.0000,0.0000
420,19,0.0000,0.0000
421,19,0.0000,0.0000
422,19,0.0000,0.0000
423,18,0.0000,0.0000
424,18,0.0000,0.0000
425,19,0.0000,0.0000
426,20,0.0000,0.0000
427,19,0.0000,0.0000
428,18,0.0000,0.0000
429,19,0.0000,0.0000
430,19,0.0000,0.0000
431,20,0.0000,0.0000
432,20,0.0000,0.0000
433,19,0.0000,0.0000
434,19,0.0000,0.0000
435,18,0.0000,0.0000
436,18,0.0000,0.0000
437,19,0.0000,0.0000
438,19,0.0000,0.0000
439,19,0.0000,0.0000
440,18,0.0000,0.0000
441,19,0.0000,0.0000
442,19,0.0000,0.0000
443,19,0.0000,0.0000
444,18,0.0000,0.0000
445,19,0.0000,0.0000
446,18,0.0000,0.0000
447,18,0.0000,0.0000
448,18,0.0000,0.0000
449,18,0.0000,0.0000
450,18,0.0000,0.0000
451,19,0.0000,0.0000
452,19,0.0000,0.0000
453,19,0.0000,0.0000
454,21,0.0000,0.0000
