generation,avg_survival,n1_weight_mag,n2_weight_mag
4101,43,5.7037,8.2914
4102,43,5.6961,8.2892
4103,43,5.6893,8.2876
4104,45,5.9965,8.2309
4105,43,5.9851,8.2217
4106,44,5.9838,8.2190
4107,44,5.9896,8.2139
4108,43,5.9487,8.2077
4109,45,5.6962,8.3825
4110,43,5.6790,8.3789
4111,43,5.6703,8.3780
4112,44,5.6631,8.3774
4113,43,5.6577,8.3770
4114,43,5.8347,8.5273
4115,44,5.8280,8.5198
4116,44,5.8196,8.5191
4117,45,5.8117,8.5195
4118,44,5.8052,8.5198
4119,44,5.8440,8.5221
4120,44,5.8329,8.5209
4121,45,5.8254,8.5202
4122,44,5.8186,8.5194
4123,45,5.8131,8.5186
4124,44,6.0180,8.5172
4125,44,6.0115,8.5152
4126,43,6.0053,8.5145
4127,44,5.9992,8.5142
4128,44,5.9932,8.5143
4129,45,6.0177,8.5476
4130,43,6.0213,8.5409
4131,43,6.0202,8.5368
4132,44,6.0163,8.5363
4133,45,6.0115,8.5364
4134,42,6.0462,8.4609
4135,43,6.0298,8.4594
4136,43,6.0179,8.4590
4137,42,6.0083,8.4591
4138,42,6.0000,8.4594
4139,44,5.9642,8.5140
4140,44,5.9510,8.5147
4141,43,5.9338,8.5189
4142,43,5.9240,8.5215
4143,44,5.9186,8.5213
4144,43,5.8859,8.3714
